epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
93,22613.4,1.21462,1.21148,1.35109,0.83372,0.83925,0.85917,0.50958,1.33953,0.71433,1.42775,0.00811305,0.00270435,0.00811305,0.00270435,0.00811305,0.00270435,0.00811305,0.00270435
94,22857,1.2072,1.21525,1.34846,0.83421,0.83885,0.85885,0.50941,1.33875,0.71326,1.42716,0.0078214,0.00260713,0.0078214,0.00260713,0.0078214,0.00260713,0.0078214,0.00260713
95,23101,1.20128,1.19813,1.33895,0.8351,0.83794,0.85922,0.51006,1.338,0.71281,1.4262,0.00753345,0.00251115,0.00753345,0.00251115,0.00753345,0.00251115,0.00753345,0.00251115
96,23343.9,1.18558,1.19371,1.33174,0.84251,0.83419,0.85961,0.50968,1.33761,0.71166,1.42579,0.00724932,0.00241644,0.00724932,0.00241644,0.00724932,0.00241644,0.00724932,0.00241644
97,23584.5,1.19796,1.19817,1.34001,0.83692,0.84128,0.86028,0.50984,1.3371,0.71061,1.42589,0.00696918,0.00232306,0.00696918,0.00232306,0.00696918,0.00232306,0.00696918,0.00232306
98,23826.7,1.18736,1.17989,1.33081,0.83656,0.84102,0.86093,0.51047,1.33582,0.70988,1.42464,0.00669316,0.00223105,0.00669316,0.00223105,0.00669316,0.00223105,0.00669316,0.00223105
99,24068.2,1.19704,1.19512,1.3381,0.84124,0.83422,0.86026,0.51027,1.33474,0.70868,1.42375,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
100,24312.6,1.18891,1.18788,1.3295,0.84127,0.83494,0.86047,0.51027,1.33352,0.70757,1.42268,0.00615402,0.00205134,0.00615402,0.00205134,0.00615402,0.00205134,0.00615402,0.00205134
101,24553.9,1.18802,1.18472,1.32899,0.84484,0.83413,0.86025,0.51047,1.33283,0.70685,1.42206,0.00589118,0.00196373,0.00589118,0.00196373,0.00589118,0.00196373,0.00589118,0.00196373
102,24795.3,1.18223,1.17493,1.32618,0.83968,0.84182,0.8607,0.5115,1.33202,0.70603,1.42113,0.005633,0.00187767,0.005633,0.00187767,0.005633,0.00187767,0.005633,0.00187767
103,25037.8,1.1746,1.16469,1.32175,0.83561,0.83989,0.86108,0.51196,1.33129,0.70501,1.42061,0.00537961,0.0017932,0.00537961,0.0017932,0.00537961,0.0017932,0.00537961,0.0017932
104,25278.2,1.17708,1.17228,1.3242,0.8345,0.84114,0.86109,0.51222,1.33003,0.70354,1.41942,0.00513114,0.00171038,0.00513114,0.00171038,0.00513114,0.00171038,0.00513114,0.00171038
105,25522.8,1.16105,1.15911,1.31411,0.84442,0.82805,0.8594,0.51144,1.32949,0.70228,1.41898,0.00488772,0.00162924,0.00488772,0.00162924,0.00488772,0.00162924,0.00488772,0.00162924
106,25765.9,1.16679,1.16277,1.31564,0.84533,0.82558,0.86123,0.51096,1.32819,0.70113,1.41752,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
107,26009.9,1.16633,1.16732,1.31365,0.84499,0.82428,0.86101,0.51141,1.32776,0.70035,1.4173,0.0044165,0.00147217,0.0044165,0.00147217,0.0044165,0.00147217,0.0044165,0.00147217
108,26253.2,1.16104,1.1671,1.31188,0.83524,0.84006,0.86134,0.51277,1.32686,0.69941,1.41633,0.00418893,0.00139631,0.00418893,0.00139631,0.00418893,0.00139631,0.00418893,0.00139631
109,26496,1.1569,1.15521,1.3071,0.84734,0.82882,0.86195,0.51261,1.32612,0.69829,1.41575,0.00396689,0.0013223,0.00396689,0.0013223,0.00396689,0.0013223,0.00396689,0.0013223
110,26740.3,1.14854,1.14641,1.29992,0.84865,0.83131,0.86208,0.51239,1.3257,0.69746,1.41532,0.00375048,0.00125016,0.00375048,0.00125016,0.00375048,0.00125016,0.00375048,0.00125016
111,26982.8,1.15791,1.15622,1.31114,0.84806,0.83109,0.86218,0.51273,1.32477,0.6969,1.41456,0.0035398,0.00117993,0.0035398,0.00117993,0.0035398,0.00117993,0.0035398,0.00117993
112,27224.1,1.15327,1.14361,1.30314,0.84818,0.83102,0.86242,0.51267,1.32398,0.6965,1.41376,0.00333498,0.00111166,0.00333498,0.00111166,0.00333498,0.00111166,0.00333498,0.00111166
113,27464.9,1.14522,1.15521,1.29898,0.84963,0.83106,0.86235,0.51267,1.32314,0.69551,1.41278,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537,0.0031361,0.00104537
114,27704.6,1.14678,1.13915,1.29848,0.84852,0.83212,0.86229,0.51298,1.32233,0.69492,1.41199,0.00294327,0.00098109,0.00294327,0.00098109,0.00294327,0.00098109,0.00294327,0.00098109
115,27948.7,1.14289,1.14368,1.29578,0.84639,0.83565,0.86225,0.51358,1.32169,0.69484,1.41128,0.00275659,0.000918862,0.00275659,0.000918862,0.00275659,0.000918862,0.00275659,0.000918862
116,28191.5,1.13413,1.12619,1.28863,0.84571,0.83477,0.86231,0.51485,1.32102,0.69448,1.41061,0.00257615,0.000858715,0.00257615,0.000858715,0.00257615,0.000858715,0.00257615,0.000858715
117,28432.4,1.13174,1.13746,1.28893,0.84286,0.84145,0.86068,0.51427,1.32018,0.69405,1.4098,0.00240204,0.000800678,0.00240204,0.000800678,0.00240204,0.000800678,0.00240204,0.000800678
118,28675.8,1.13166,1.13501,1.28976,0.84371,0.83668,0.86085,0.51462,1.319,0.69339,1.40888,0.00223434,0.000744781,0.00223434,0.000744781,0.00223434,0.000744781,0.00223434,0.000744781
119,28919.1,1.11903,1.11703,1.2809,0.84478,0.8367,0.86099,0.51458,1.31821,0.69279,1.40848,0.00207316,0.000691052,0.00207316,0.000691052,0.00207316,0.000691052,0.00207316,0.000691052
120,29165.3,1.11497,1.12072,1.28161,0.84428,0.83797,0.86228,0.51532,1.31733,0.69219,1.40777,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
121,29408.9,1.12833,1.11727,1.28217,0.84006,0.84403,0.86216,0.51509,1.31687,0.69207,1.40734,0.00177061,0.000590204,0.00177061,0.000590204,0.00177061,0.000590204,0.00177061,0.000590204
122,29652.9,1.1312,1.12271,1.28823,0.8397,0.8446,0.8624,0.51563,1.31609,0.69182,1.40669,0.00162941,0.000543136,0.00162941,0.000543136,0.00162941,0.000543136,0.00162941,0.000543136
123,29897,1.11676,1.10768,1.27856,0.84198,0.84604,0.8622,0.51587,1.31551,0.69163,1.40644,0.00149501,0.000498338,0.00149501,0.000498338,0.00149501,0.000498338,0.00149501,0.000498338
124,30141.3,1.1203,1.12103,1.28205,0.84108,0.84581,0.86158,0.51622,1.31458,0.69163,1.40584,0.00136749,0.000455831,0.00136749,0.000455831,0.00136749,0.000455831,0.00136749,0.000455831
125,30386.6,1.11183,1.11401,1.27796,0.83786,0.84771,0.86295,0.51625,1.31359,0.6916,1.40522,0.00124691,0.000415637,0.00124691,0.000415637,0.00124691,0.000415637,0.00124691,0.000415637
126,30631.3,1.1159,1.11541,1.2811,0.83592,0.84853,0.86301,0.51672,1.31286,0.69142,1.40465,0.00113333,0.000377778,0.00113333,0.000377778,0.00113333,0.000377778,0.00113333,0.000377778
127,30874.1,1.11257,1.11173,1.27441,0.83582,0.84942,0.86246,0.51686,1.31208,0.69144,1.404,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
128,31124.4,1.10787,1.11132,1.27326,0.83543,0.84958,0.86226,0.51684,1.31146,0.69134,1.40369,0.0009274,0.000309133,0.0009274,0.000309133,0.0009274,0.000309133,0.0009274,0.000309133
