epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,7308.29,1.28884,1.00584,1.45353,0.81089,0.78782,0.84807,0.50743,1.37202,0.77767,1.53766,0.007756,0.007756,0.007756
70,7412.39,1.28208,1.00178,1.45557,0.81958,0.76842,0.83723,0.50336,1.36289,0.7659,1.53801,0.007723,0.007723,0.007723
71,7515.36,1.27343,0.99585,1.45823,0.82876,0.77958,0.84629,0.50224,1.35967,0.77223,1.53149,0.00769,0.00769,0.00769
72,7618.27,1.28178,0.99414,1.45085,0.8473,0.78413,0.85962,0.5055,1.36509,0.74975,1.53252,0.007657,0.007657,0.007657
73,7722.16,1.27679,0.99947,1.45503,0.84448,0.78186,0.84823,0.5143,1.36398,0.76493,1.52344,0.007624,0.007624,0.007624
74,7824.45,1.26966,0.9813,1.44251,0.83446,0.7758,0.8502,0.52105,1.35658,0.7463,1.5208,0.007591,0.007591,0.007591
75,7927.16,1.26112,0.97555,1.43575,0.83522,0.78417,0.85404,0.51502,1.34552,0.74137,1.51546,0.007558,0.007558,0.007558
76,8030.7,1.25463,0.97454,1.42809,0.85311,0.77648,0.85293,0.51912,1.34009,0.73239,1.50343,0.007525,0.007525,0.007525
77,8134.36,1.26026,0.96566,1.42475,0.85683,0.80621,0.86165,0.52369,1.35179,0.73022,1.50965,0.007492,0.007492,0.007492
78,8237.13,1.25212,0.97596,1.42652,0.85989,0.77694,0.85795,0.5311,1.32943,0.73754,1.50242,0.007459,0.007459,0.007459
79,8339.9,1.27363,0.97869,1.44057,0.86032,0.78337,0.86195,0.52787,1.33043,0.73949,1.50584,0.007426,0.007426,0.007426
80,8444.53,1.2588,0.97624,1.43426,0.85495,0.77437,0.85708,0.52716,1.3251,0.72516,1.5065,0.007393,0.007393,0.007393
81,8546.93,1.24739,0.95465,1.43408,0.80522,0.8179,0.854,0.52155,1.32319,0.72621,1.50709,0.00736,0.00736,0.00736
82,8649.19,1.2517,0.95696,1.42154,0.83899,0.79118,0.85764,0.53852,1.31515,0.72995,1.49409,0.007327,0.007327,0.007327
83,8752.31,1.25044,0.95587,1.42685,0.85273,0.78589,0.84864,0.51478,1.32342,0.73441,1.50879,0.007294,0.007294,0.007294
84,8855.22,1.22419,0.92904,1.40299,0.83884,0.79139,0.85134,0.51981,1.31102,0.73192,1.48992,0.007261,0.007261,0.007261
85,8957.99,1.22478,0.95436,1.41197,0.83464,0.7976,0.86106,0.52713,1.31092,0.72553,1.48758,0.007228,0.007228,0.007228
86,9059.42,1.2245,0.94112,1.41417,0.848,0.78363,0.86399,0.52982,1.32,0.71694,1.48936,0.007195,0.007195,0.007195
87,9163.63,1.22072,0.9233,1.39668,0.87404,0.78181,0.87169,0.53645,1.30812,0.70468,1.48328,0.007162,0.007162,0.007162
88,9265.7,1.2267,0.93767,1.41391,0.8397,0.81174,0.8712,0.54506,1.30249,0.69467,1.48117,0.007129,0.007129,0.007129
89,9368.73,1.22426,0.93352,1.40293,0.87209,0.76833,0.86705,0.53667,1.30862,0.70184,1.48091,0.007096,0.007096,0.007096
90,9472.23,1.2159,0.9262,1.39526,0.8445,0.8112,0.872,0.54093,1.31744,0.68987,1.48927,0.007063,0.007063,0.007063
91,9575.37,1.19478,0.91952,1.38738,0.88883,0.78302,0.87957,0.53383,1.30996,0.7007,1.48439,0.00703,0.00703,0.00703
92,9677.47,1.21704,0.92173,1.39975,0.83132,0.80945,0.87557,0.53485,1.30234,0.69734,1.47974,0.006997,0.006997,0.006997
93,9779.16,1.21783,0.91451,1.39795,0.85323,0.80124,0.87092,0.53802,1.30308,0.69556,1.48208,0.006964,0.006964,0.006964
