epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
85,11051.4,1.41886,1.57425,1.49323,0.80186,0.78577,0.82385,0.47659,1.46044,0.91534,1.50194,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282,0.00213685,0.000712282
86,11178.4,1.41203,1.55898,1.49118,0.79699,0.79153,0.82484,0.47642,1.46007,0.91407,1.50131,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518,0.00191855,0.000639518
87,11304.3,1.42426,1.56825,1.4963,0.79565,0.79398,0.82585,0.47804,1.45949,0.9125,1.50054,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106,0.00171332,0.000571106
88,11430.3,1.41279,1.57279,1.49088,0.80256,0.78811,0.82626,0.47835,1.45881,0.91125,1.49963,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115,0.00152134,0.000507115
89,11557.2,1.40573,1.55514,1.48604,0.80125,0.79044,0.82684,0.48038,1.45834,0.90956,1.49907,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606,0.00134282,0.000447606
90,11683.8,1.40892,1.55542,1.48687,0.80328,0.79714,0.82986,0.4817,1.45776,0.90807,1.49822,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264,0.00117792,0.00039264
91,11824.9,1.26994,1.22983,1.41739,0.80035,0.7998,0.82838,0.48107,1.45704,0.90618,1.49732,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227,0.00102681,0.00034227
92,11943.8,1.2603,1.19734,1.40803,0.79768,0.80252,0.82929,0.48072,1.45646,0.90511,1.49673,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546,0.000889639,0.000296546
93,12063.3,1.25596,1.19025,1.3993,0.80277,0.80008,0.82974,0.48069,1.45562,0.90344,1.49597,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513,0.00076654,0.000255513
94,12181.6,1.25642,1.1756,1.39941,0.81067,0.79292,0.83035,0.48167,1.45465,0.90145,1.49515,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212,0.000657636,0.000219212
95,12300.3,1.25069,1.18992,1.39975,0.81196,0.79356,0.83104,0.48207,1.45357,0.89923,1.49419,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678,0.000563034,0.000187678
96,12420,1.25086,1.1921,1.40359,0.81237,0.79004,0.8321,0.48323,1.45278,0.89734,1.49355,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943,0.000482828,0.000160943
97,12539.2,1.24764,1.18398,1.39232,0.81253,0.79412,0.83257,0.48331,1.45185,0.89603,1.4928,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032,0.000417097,0.000139032
98,12658.5,1.24618,1.16948,1.3917,0.81791,0.78704,0.83289,0.48403,1.45101,0.89426,1.49211,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968,0.000365905,0.000121968
99,12777.7,1.23993,1.18164,1.39329,0.822,0.78406,0.83324,0.48391,1.45002,0.89271,1.49136,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768,0.000329303,0.000109768
100,12896.9,1.23677,1.17994,1.39014,0.82229,0.78427,0.83378,0.48438,1.44899,0.89085,1.49057,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443,0.000307328,0.000102443
